id_trecho,br,trecho_km_inicial,trecho_km_final,trecho_densidade_acidentes,trecho_risco_total,trecho_severidade_media,tracado_tem_aclive,tracado_tem_cruzamento,tracado_tem_curva,tracado_tem_declive,tracado_tem_desvio_tempor_rio,tracado_tem_em_obras,tracado_tem_interse__o_de_vias,tracado_tem_ponte,tracado_tem_reta,tracado_tem_retorno_regulamentado,tracado_tem_rotat_ria,tracado_tem_t_nel,tracado_tem_viaduto,classificacao_acidente_com_vitimas_fatais,classificacao_acidente_com_vitimas_feridas,classificacao_acidente_sem_vitimas,prop_causa_atropelamento_pedestre,prop_causa_defeito_mecanico_veiculo,prop_causa_defeito_na_via,prop_causa_falta_de_atencao,prop_causa_ingestao_de_alcool,prop_causa_outras,prop_causa_velocidade_incompativel,prop_cond_ceu claro,prop_cond_chuva,prop_cond_granizo,prop_cond_neve,prop_cond_nublado,prop_cond_outros,prop_cond_vento forte,tipo_acidente_atropelamento de animal,tipo_acidente_atropelamento de pessoa,tipo_acidente_capotamento,tipo_acidente_colisão,tipo_acidente_colisão frontal,tipo_acidente_colisão lateral,tipo_acidente_colisão transversal,tipo_acidente_colisão traseira,tipo_acidente_danos eventuais,tipo_acidente_engavetamento,tipo_acidente_incêndio,tipo_acidente_outros,tipo_acidente_queda de ocupante de veículo,tipo_acidente_saída de pista,tipo_acidente_tombamento,prop_pista_Dupla,prop_pista_Múltipla,prop_pista_Simples,sentido_via_Crescente,sentido_via_Decrescente,sentido_via_Não Informado,fase_dia_Amanhecer,fase_dia_Anoitecer,fase_dia_Plena noite,fase_dia_Pleno dia,causa_relevante_radar,trecho_extensao_km,ponto_critico_km,distancia_radar_mais_proximo,tem_radar,reducao_pct_taxa_acidente
BR0_T1,0,0.0,0.0,84,8,0.8333333333333334,0.047619047619047616,0.0,0.23809523809523808,0.15476190476190477,0.0,0.0,0.13095238095238096,0.0,0.5714285714285714,0.023809523809523808,0.047619047619047616,0.0,0.0,0.0,0.47619047619047616,0.5238095238095238,0.0,0.047619047619047616,0.05952380952380952,0.30952380952380953,0.05952380952380952,0.39285714285714285,0.13095238095238096,0.7261904761904762,0.05952380952380952,0.0,0.0,0.16666666666666666,0.047619047619047616,0.0,0.0,0.047619047619047616,0.023809523809523808,0.3333333333333333,0.08333333333333333,0.05952380952380952,0.14285714285714285,0.05952380952380952,0.011904761904761904,0.0,0.03571428571428571,0.07142857142857142,0.023809523809523808,0.0,0.10714285714285714,0.20238095238095238,0.023809523809523808,0.7738095238095238,0.0,0.0,1.0,0.05952380952380952,0.05952380952380952,0.27380952380952384,0.6071428571428571,0.13095238095238096,0.0,0.0,-1.0,0,0.0
BR0_T2,0,68.0,68.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,68.0,-1.0,0,0.0
BR0_T3,0,257.6,257.6,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,257.6,-1.0,0,0.0
BR0_T4,0,439.2,439.2,1,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,439.2,-1.0,0,0.0
BR0_T5,0,455.5,455.5,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,455.5,-1.0,0,0.0
BR0_T6,0,488.0,488.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,488.0,-1.0,0,0.0
BR0_T7,0,493.0,493.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,493.0,-1.0,0,0.0
BR116_T10,116,1.5,3.8,88,0,1.4659090909090908,0.011363636363636364,0.03409090909090909,0.045454545454545456,0.022727272727272728,0.0,0.0,0.0,0.0,0.8977272727272727,0.0,0.0,0.0,0.0,0.10227272727272728,0.3977272727272727,0.48863636363636365,0.0,0.0,0.10227272727272728,0.5227272727272727,0.03409090909090909,0.32954545454545453,0.011363636363636364,0.5568181818181818,0.03409090909090909,0.0,0.011363636363636364,0.36363636363636365,0.03409090909090909,0.0,0.056818181818181816,0.11363636363636363,0.045454545454545456,0.07954545454545454,0.022727272727272728,0.2159090909090909,0.23863636363636365,0.14772727272727273,0.022727272727272728,0.0,0.0,0.022727272727272728,0.0,0.011363636363636364,0.022727272727272728,0.011363636363636364,0.011363636363636364,0.9772727272727273,0.4318181818181818,0.5681818181818182,0.0,0.056818181818181816,0.07954545454545454,0.32954545454545453,0.5340909090909091,0.011363636363636364,2.3,2.0,407.63,0,0.0
BR116_T100,116,66.3,66.6,8,7,1.875,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.375,0.0,0.0,0.0,0.125,0.0,0.75,0.125,0.25,0.125,0.0,0.0,0.375,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,1.0,0.75,0.25,0.0,0.375,0.0,0.125,0.5,0.125,0.29999999999999716,66.3,343.33,0,0.0
BR116_T101,116,66.8,66.8,2,0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,66.8,342.83,0,0.0
